                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.454,                 1.3694,                 1.1486,                0.89901,                0.15123,                0.17456,                0.10202,                 1.2179,                 1.0756,                 1.1278,               0.070005,              0.0033327,              0.0033327
                      2,                 1.4511,                 1.1455,                 1.1386,                0.23582,                0.15797,                0.18306,                0.10887,                 1.1851,                0.98373,                  1.115,               0.039873,              0.0065341,              0.0065341
                      3,                 1.4948,                 1.1583,                 1.1631,                0.23569,                0.15774,                 0.1825,                0.10786,                 1.2164,                 0.9984,                 1.1446,              0.0096093,              0.0096034,              0.0096034
                      4,                 1.4934,                 1.1353,                 1.1656,                0.24585,                0.16406,                 0.1918,                0.11538,                 1.1593,                0.89204,                 1.1105,               0.009406,               0.009406,               0.009406
                      5,                 1.4332,                 1.0591,                 1.1394,                0.24952,                0.17168,                0.19921,                0.12113,                 1.1141,                0.83553,                  1.093,               0.009208,               0.009208,               0.009208
                      6,                 1.3915,                 1.0113,                 1.1217,                0.25291,                0.17651,                0.20472,                0.12539,                 1.0846,                0.79072,                 1.0722,                0.00901,                0.00901,                0.00901
                      7,                 1.3665,                0.97996,                 1.1095,                0.25702,                0.17937,                0.20887,                0.12918,                 1.0465,                0.75539,                 1.0518,               0.008812,               0.008812,               0.008812
                      8,                 1.3441,                0.95605,                 1.0999,                0.25938,                0.18208,                0.21202,                0.13168,                 1.0301,                0.73698,                 1.0423,               0.008614,               0.008614,               0.008614
                      9,                 1.3276,                0.93606,                 1.0905,                0.26153,                0.18433,                 0.2146,                0.13416,                 1.0091,                0.70988,                 1.0313,               0.008416,               0.008416,               0.008416
                     10,                 1.3116,                0.91916,                 1.0846,                0.26419,                0.18644,                0.21721,                0.13642,                0.99513,                0.69166,                 1.0241,               0.008218,               0.008218,               0.008218
                     11,                 1.3012,                 0.9076,                 1.0811,                0.26419,                0.18852,                0.21894,                0.13788,                0.98339,                0.67565,                 1.0171,                0.00802,                0.00802,                0.00802
                     12,                 1.2931,                0.89261,                 1.0746,                0.26541,                0.18996,                0.22034,                0.13933,                0.97225,                0.66291,                 1.0101,               0.007822,               0.007822,               0.007822
                     13,                 1.2816,                0.88584,                 1.0708,                 0.2669,                0.19079,                0.22174,                0.14064,                0.96154,                 0.6523,                 1.0047,               0.007624,               0.007624,               0.007624
                     14,                 1.2724,                0.87628,                 1.0678,                0.26683,                0.19228,                0.22296,                0.14154,                0.95604,                0.64461,                 1.0017,               0.007426,               0.007426,               0.007426
                     15,                 1.2642,                0.86451,                 1.0634,                0.26732,                0.19341,                0.22397,                0.14257,                0.95007,                 0.6367,                0.99852,               0.007228,               0.007228,               0.007228
                     16,                 1.2618,                0.86019,                 1.0605,                0.26756,                0.19458,                 0.2249,                0.14337,                0.94513,                0.63004,                 0.9958,                0.00703,                0.00703,                0.00703
                     17,                 1.2531,                0.85383,                 1.0569,                0.26785,                 0.1953,                0.22565,                0.14397,                0.94072,                0.62549,                0.99288,               0.006832,               0.006832,               0.006832
                     18,                 1.2463,                0.84465,                 1.0538,                0.26884,                0.19574,                0.22639,                0.14463,                0.93674,                0.62102,                0.99078,               0.006634,               0.006634,               0.006634
                     19,                 1.2396,                0.84027,                 1.0522,                0.26998,                0.19588,                0.22693,                0.14516,                0.93255,                0.61705,                0.98798,               0.006436,               0.006436,               0.006436
                     20,                 1.2371,                0.83385,                 1.0496,                0.27006,                0.19648,                0.22753,                0.14569,                0.92919,                0.61336,                0.98574,               0.006238,               0.006238,               0.006238
                     21,                  1.231,                0.82959,                 1.0457,                0.27024,                 0.1969,                0.22782,                0.14606,                0.92617,                0.61019,                0.98383,                0.00604,                0.00604,                0.00604
                     22,                 1.2256,                0.82146,                  1.044,                0.27052,                0.19728,                0.22823,                0.14644,                0.92358,                0.60716,                0.98249,               0.005842,               0.005842,               0.005842
                     23,                 1.2201,                0.81666,                 1.0403,                0.27032,                0.19787,                0.22858,                0.14674,                0.92122,                0.60465,                0.98121,               0.005644,               0.005644,               0.005644
                     24,                 1.2112,                0.80811,                  1.039,                0.27094,                0.19796,                0.22889,                0.14705,                0.91895,                0.60233,                0.97989,               0.005446,               0.005446,               0.005446
                     25,                 1.2109,                0.80481,                 1.0381,                0.27113,                0.19819,                0.22919,                0.14736,                0.91697,                0.59978,                0.97879,               0.005248,               0.005248,               0.005248
                     26,                 1.2039,                0.79986,                 1.0342,                0.27083,                0.19873,                 0.2295,                0.14764,                0.91498,                0.59753,                0.97766,                0.00505,                0.00505,                0.00505
                     27,                 1.2016,                0.79593,                 1.0332,                0.27126,                0.19886,                0.22981,                0.14792,                0.91299,                0.59559,                0.97643,               0.004852,               0.004852,               0.004852
                     28,                 1.1948,                0.79204,                 1.0316,                0.27175,                0.19906,                0.23008,                 0.1482,                0.91102,                0.59349,                0.97524,               0.004654,               0.004654,               0.004654
                     29,                 1.1917,                0.78637,                 1.0291,                0.27209,                0.19939,                0.23038,                0.14847,                0.90894,                0.59135,                0.97396,               0.004456,               0.004456,               0.004456
                     30,                 1.1854,                0.78237,                 1.0271,                0.27247,                0.19962,                0.23068,                0.14879,                0.90703,                0.58906,                0.97286,               0.004258,               0.004258,               0.004258
                     31,                 1.1813,                0.77777,                 1.0251,                0.27235,                0.20003,                  0.231,                0.14914,                0.90511,                0.58683,                0.97154,                0.00406,                0.00406,                0.00406
                     32,                 1.1777,                0.77173,                 1.0234,                0.27298,                0.20006,                 0.2313,                0.14943,                0.90334,                 0.5849,                0.97041,               0.003862,               0.003862,               0.003862
                     33,                 1.1696,                0.76447,                 1.0201,                 0.2729,                0.20044,                0.23159,                0.14971,                0.90138,                0.58267,                0.96907,               0.003664,               0.003664,               0.003664
                     34,                  1.167,                0.76279,                 1.0204,                0.27298,                0.20078,                0.23192,                0.15001,                0.89976,                0.58063,                0.96799,               0.003466,               0.003466,               0.003466
                     35,                 1.1621,                0.75752,                 1.0166,                0.27318,                0.20115,                0.23223,                0.15034,                0.89784,                0.57855,                0.96685,               0.003268,               0.003268,               0.003268
                     36,                 1.1587,                0.75377,                 1.0153,                 0.2733,                0.20149,                0.23255,                0.15063,                0.89589,                0.57639,                0.96567,                0.00307,                0.00307,                0.00307
